"","x"
"1",0.185776928959513
"2",0.31296464890052
"3",0.263350581630319
"4",0.147586649454144
"5",0.0619706063273738
"6",0.0207959413726805
"7",0.00580970284637871
"8",0.00138977907689491
"9",0.000290608649054779
"10",5.39611508236997e-05
"11",9.00862196503325e-06
"12",1.36585430900342e-06
"13",1.89636935085429e-07
"14",2.42795159907032e-08
"15",2.88358426379656e-09
"16",3.19316828903033e-10
"17",3.31162811120752e-11
"18",3.22917247918273e-12
"19",2.9708160409262e-13
"20",2.58664692544121e-14
"21",2.13736979992072e-15
"22",1.68031209947848e-16
"23",1.2596603824535e-17
"24",9.02335397063531e-19
"25",6.18806435000918e-20
"26",4.06975378047333e-21
"27",2.57100492136792e-22
"28",1.56243372881104e-23
"29",9.14660489986355e-25
"30",5.16454054824641e-26
"31",2.81600337968312e-27
"32",1.48438554696953e-28
"33",7.57223390529767e-30
"34",3.74187213697007e-31
"35",1.79283369233681e-32
"36",8.33590184613785e-34
"37",3.76427124161556e-35
"38",1.6521889932061e-36
"39",7.05352029167443e-38
"40",2.93102747890631e-39
"41",1.18627886054343e-40
"42",4.67926533865147e-42
"43",1.79990877551803e-43
"44",6.75539974079503e-45
"45",2.47522007753391e-46
"46",8.85855126042132e-48
"47",3.09821639257911e-49
"48",1.05941414981227e-50
"49",3.54340617295738e-52
"50",1.15975248230526e-53
"51",3.71603099993137e-55
"52",1.16610125424797e-56
"53",3.58511124488614e-58
"54",1.08028565441067e-59
"55",3.19152560535932e-61
"56",9.24762658823089e-63
"57",2.62892121693591e-64
"58",7.33463007696809e-66
"59",2.00893284437715e-67
"60",5.4034086700209e-69
"61",1.42761036785004e-70
"62",3.70604950999341e-72
"63",9.4555898241298e-74
"64",2.37167086502938e-75
"65",5.84948377069678e-77
"66",1.41900373125443e-78
"67",3.38652836651703e-80
"68",7.95298743355816e-82
"69",1.83825828597852e-83
"70",4.1828939970378e-85
"71",9.37199406195863e-87
"72",2.06804559488746e-88
"73",4.49517736340116e-90
"74",9.62665600432407e-92
"75",2.0315474599524e-93
"76",4.22552038116586e-95
"77",8.66386838573847e-97
"78",1.7514453765487e-98
"79",3.49146104229316e-100
"80",6.86458892442292e-102
"81",1.33133602374406e-103
"82",2.54738153757523e-105
"83",4.80949149262492e-107
"84",8.96122237642121e-109
"85",1.64801366792753e-110
"86",2.99185720789588e-112
"87",5.36249635438669e-114
"88",9.4906827888235e-116
"89",1.65878106169905e-117
"90",2.86350143462743e-119
"91",4.88288816478067e-121
"92",8.22584046722038e-123
"93",1.36917778273807e-124
"94",2.25198891414206e-126
"95",3.6605739662424e-128
"96",5.8810826669634e-130
"97",9.33981201612983e-132
"98",1.46635233939375e-133
"99",2.27616382048963e-135
"100",3.49364170977439e-137
"101",5.30281724347569e-139
"102",7.96033418683686e-141
"103",1.18193699222974e-142
"104",1.73594892136256e-144
"105",2.52231632670391e-146
"106",3.62594962848147e-148
"107",5.15753806111944e-150
"108",7.25938262590492e-152
"109",1.01118564598847e-153
"110",1.39403204613187e-155
"111",1.90222235547203e-157
"112",2.569400558287e-159
"113",3.43573024010327e-161
"114",4.54838359733375e-163
"115",5.96182684355188e-165
"116",7.73782217124272e-167
"117",9.94506282711471e-169
"118",1.26583599010158e-170
"119",1.59573084742679e-172
"120",1.99243778538482e-174
"121",2.46423962415915e-176
"122",3.01914341561478e-178
"123",3.66451321995032e-180
"124",4.40665653802049e-182
"125",5.250378530726e-184
"126",6.19852294993085e-186
"127",7.25152295996979e-188
"128",8.40698830042203e-190
"129",9.6593571025879e-192
"130",1.09996407600464e-193
"131",1.24152883117015e-195
"132",1.38901927150974e-197
"133",1.54048552358137e-199
"134",1.69367162122873e-201
"135",1.84606511158484e-203
"136",1.99496207144615e-205
"137",2.13754539837286e-207
"138",2.27097329664479e-209
"139",2.39247408285886e-211
"140",2.49944285794535e-213
"141",2.5895352853118e-215
"142",2.66075371196172e-217
"143",2.71152118004478e-219
"144",2.74073948423589e-221
"145",2.74782829511314e-223
"146",2.73274342886893e-225
"147",2.69597352228094e-227
"148",2.6385155832731e-229
"149",2.5618310449185e-231
"150",2.46778497410798e-233
"151",2.35857190816681e-235
"152",2.23663236458152e-237
"153",2.1045643634115e-239
"154",1.9650343143159e-241
"155",1.82069136752313e-243
"156",1.67408884638931e-245
"157",1.5276157187206e-247
"158",1.38344028415926e-249
"159",1.24346741849746e-251
"160",1.10930988366931e-253
"161",9.82273438619588e-256
"162",8.63354815243662e-258
"163",7.53251086578621e-260
"164",6.52378569348633e-262
"165",5.60899174620238e-264
"166",4.78752041745082e-266
"167",4.05688345447817e-268
"168",3.41307330474483e-270
"169",2.85091875245166e-272
"170",2.36442186749021e-274
"171",1.94706555861952e-276
"172",1.59208430715569e-278
"173",1.29269375349193e-280
"174",1.04227756300117e-282
"175",8.34532309000286e-285
"176",6.635729265272e-287
"177",5.24002603048605e-289
"178",4.10951807262395e-291
"179",3.20091567018555e-293
"180",2.47626160633188e-295
"181",1.90270158996348e-297
"182",1.45214326043834e-299
"183",1.10084324620267e-301
"184",8.28955469180458e-304
"185",6.20067458214903e-306
"186",4.60745258946668e-308
"187",3.40101889331613e-310
"188",2.49399367567598e-312
"189",1.81690219298916e-314
"190",1.3150106565063e-316
"191",9.45582358262645e-319
"192",6.75387737864984e-321
"193",4.94065645841247e-323
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0
"497",0
"498",0
"499",0
"500",0
"501",0
"502",0
"503",0
"504",0
"505",0
"506",0
"507",0
"508",0
"509",0
"510",0
"511",0
"512",0
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",0
"522",0
"523",0
"524",0
"525",0
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",0
"535",0
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",0
"544",0
"545",0
"546",0
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",0
"554",0
"555",0
"556",0
"557",0
"558",0
"559",0
"560",0
"561",0
"562",0
"563",0
"564",0
"565",0
"566",0
"567",0
"568",0
"569",0
"570",0
"571",0
"572",0
"573",0
"574",0
"575",0
"576",0
"577",0
"578",0
"579",0
"580",0
"581",0
"582",0
"583",0
"584",0
"585",0
"586",0
"587",0
"588",0
"589",0
"590",0
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0
"599",0
"600",0
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",0
"632",0
"633",0
"634",0
"635",0
"636",0
"637",0
"638",0
"639",0
"640",0
"641",0
"642",0
"643",0
"644",0
"645",0
"646",0
"647",0
"648",0
"649",0
"650",0
"651",0
"652",0
"653",0
"654",0
"655",0
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",0
"664",0
"665",0
"666",0
"667",0
"668",0
"669",0
"670",0
"671",0
"672",0
"673",0
"674",0
"675",0
"676",0
"677",0
"678",0
"679",0
"680",0
"681",0
"682",0
"683",0
"684",0
"685",0
"686",0
"687",0
"688",0
"689",0
"690",0
"691",0
"692",0
"693",0
"694",0
"695",0
"696",0
"697",0
"698",0
"699",0
"700",0
"701",0
"702",0
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0
"709",0
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",0
"728",0
"729",0
"730",0
"731",0
"732",0
"733",0
"734",0
"735",0
"736",0
"737",0
"738",0
"739",0
"740",0
"741",0
"742",0
"743",0
"744",0
"745",0
"746",0
"747",0
"748",0
"749",0
"750",0
"751",0
"752",0
"753",0
"754",0
"755",0
"756",0
"757",0
"758",0
"759",0
"760",0
"761",0
"762",0
"763",0
"764",0
"765",0
"766",0
"767",0
"768",0
"769",0
"770",0
"771",0
"772",0
"773",0
"774",0
"775",0
"776",0
"777",0
"778",0
"779",0
"780",0
"781",0
"782",0
"783",0
"784",0
"785",0
"786",0
"787",0
"788",0
"789",0
"790",0
"791",0
"792",0
"793",0
"794",0
"795",0
"796",0
"797",0
"798",0
"799",0
"800",0
"801",0
"802",0
"803",0
"804",0
"805",0
"806",0
"807",0
"808",0
"809",0
"810",0
"811",0
"812",0
"813",0
"814",0
"815",0
"816",0
"817",0
"818",0
"819",0
"820",0
"821",0
"822",0
"823",0
"824",0
"825",0
"826",0
"827",0
"828",0
"829",0
