"","x"
"1",0.0472548447682035
"2",0.144672361458817
"3",0.221016830001161
"4",0.224648052968637
"5",0.170910317728495
"6",0.103812387447963
"7",0.0524411676069084
"8",0.0226605521053022
"9",0.00855060106191267
"10",0.0028621241157147
"11",0.000860476829455845
"12",0.000234699303317115
"13",5.85610208377529e-05
"14",1.34602874240408e-05
"15",2.86697881923592e-06
"16",5.68772669864136e-07
"17",1.05567369752679e-07
"18",1.84032856264062e-08
"19",3.02370360344745e-09
"20",4.69679797374794e-10
"21",6.91649688942554e-11
"22",9.68004450082473e-12
"23",1.29050416837908e-12
"24",1.64221001939259e-13
"25",1.99850417594634e-14
"26",2.32992118019389e-15
"27",2.60633788137126e-16
"28",2.80165412547547e-17
"29",2.89792307929144e-18
"30",2.8880192229357e-19
"31",2.77631639195089e-20
"32",2.57735562331292e-21
"33",2.3129510208831e-22
"34",2.00848029223427e-23
"35",1.68917545991124e-24
"36",1.37708853005752e-25
"37",1.08913455810975e-26
"38",8.36309480645161e-28
"39",6.23926798749304e-29
"40",4.52564238878074e-30
"41",3.19367260376647e-31
"42",2.19398469172459e-32
"43",1.46813574749331e-33
"44",9.57486062732817e-35
"45",6.0892697006276e-36
"46",3.77821583609877e-37
"47",2.28828205184024e-38
"48",1.35343304032511e-39
"49",7.8210122163357e-41
"50",4.4174795152674e-42
"51",2.43977797860396e-43
"52",1.31814100380949e-44
"53",6.969058218655e-46
"54",3.60699435144809e-47
"55",1.82821997945858e-48
"56",9.07757498800554e-50
"57",4.41683376777029e-51
"58",2.10663062835348e-52
"59",9.85220300724525e-54
"60",4.51931730897122e-55
"61",2.03389907723166e-56
"62",8.98300137164115e-58
"63",3.89460594073642e-59
"64",1.65793045105408e-60
"65",6.93165591728071e-62
"66",2.84694681742621e-63
"67",1.14893087685282e-64
"68",4.55698976395752e-66
"69",1.77674974565587e-67
"70",6.81130210620124e-69
"71",2.56790290530571e-70
"72",9.52265237658937e-72
"73",3.47417708738904e-73
"74",1.24721718398058e-74
"75",4.40663892532751e-76
"76",1.53258661171685e-77
"77",5.24770714107176e-79
"78",1.7693508010591e-80
"79",5.87528498116303e-82
"80",1.92169084809923e-83
"81",6.19219830168799e-85
"82",1.96597663779294e-86
"83",6.15102863085209e-88
"84",1.89677214480998e-89
"85",5.76555550308683e-91
"86",1.727765458968e-92
"87",5.10509300094121e-94
"88",1.48748971619521e-95
"89",4.27455172439652e-97
"90",1.21162161179099e-98
"91",3.38793874033551e-100
"92",9.34646187064347e-102
"93",2.54420407854523e-103
"94",6.83436838342753e-105
"95",1.81189975023999e-106
"96",4.74139152027804e-108
"97",1.22478210981017e-109
"98",3.12347252526976e-111
"99",7.8647674529171e-113
"100",1.95544664041649e-114
"101",4.80130801021333e-116
"102",1.16430673644669e-117
"103",2.78874856213517e-119
"104",6.59818414683819e-121
"105",1.54223595794014e-122
"106",3.56144249824707e-124
"107",8.12617914647375e-126
"108",1.8321796779638e-127
"109",4.08231094993538e-129
"110",8.98948632723049e-131
"111",1.95653748852002e-132
"112",4.20919481893899e-134
"113",8.95158275694729e-136
"114",1.88201178407243e-137
"115",3.91198947186257e-139
"116",8.04000588949418e-141
"117",1.63391075850453e-142
"118",3.28354460472967e-144
"119",6.52572716208597e-146
"120",1.28266882349344e-147
"121",2.49360404514928e-149
"122",4.79506993154008e-151
"123",9.12102297882778e-153
"124",1.71632474322672e-154
"125",3.19512868174452e-156
"126",5.88485018190702e-158
"127",1.07242112123263e-159
"128",1.93375952222576e-161
"129",3.45040879915073e-163
"130",6.09246450282963e-165
"131",1.06461551262916e-166
"132",1.84116386889281e-168
"133",3.15147672393953e-170
"134",5.33924078552141e-172
"135",8.95385378093298e-174
"136",1.48636866142238e-175
"137",2.4425852005516e-177
"138",3.9737428834041e-179
"139",6.40024393916033e-181
"140",1.02060930268102e-182
"141",1.61141689975651e-184
"142",2.51918770100006e-186
"143",3.89974182903177e-188
"144",5.97794715008201e-190
"145",9.07459017159653e-192
"146",1.36420061642938e-193
"147",2.03106098566031e-195
"148",2.99487097226827e-197
"149",4.37381421477138e-199
"150",6.32682689326048e-201
"151",9.06506734083608e-203
"152",1.28656388719969e-204
"153",1.80876614729298e-206
"154",2.51906549722639e-208
"155",3.47550116767782e-210
"156",4.75040967338913e-212
"157",6.43272205148595e-214
"158",8.63023858344644e-216
"159",1.14717337896284e-217
"160",1.5108705893047e-219
"161",1.97165483841346e-221
"162",2.54948907395955e-223
"163",3.26668353828372e-225
"164",4.14768136192789e-227
"165",5.21867994780597e-229
"166",6.50706614781545e-231
"167",8.04065014120031e-233
"168",9.84669275116821e-235
"169",1.19507335539812e-236
"170",1.43752421167114e-238
"171",1.7138131298303e-240
"172",2.02511887007177e-242
