"","Precision","Recall","ModelSize","Model"
"1",0.227272727272727,0.833333333333333,22,"binomialRF"
"2",0.714285714285714,0.833333333333333,7,"VSURF"
"3",0.857142857142857,1,7,"Boruta"
"4",0.666666666666667,1,9,"VarSelRF"
"5",0,0,2,"PIMP"
"6",0.162162162162162,1,37,"AUCRF"
"7",0.0350877192982456,1,171,"Perm"
"8",0.6,1,10,"EFS"
"9",0.125,1,48,"RFE"
"10",0.130434782608696,1,46,"Vita"
"11",0.285714285714286,1,21,"binomialRF"
"12",0.666666666666667,1,9,"VSURF"
"13",1,1,6,"Boruta"
"14",0.545454545454545,1,11,"VarSelRF"
"15",NA,0,0,"PIMP"
"16",0.333333333333333,1,18,"AUCRF"
"17",0.0319148936170213,1,188,"Perm"
"18",0.6,1,10,"EFS"
"19",0.0769230769230769,0.666666666666667,52,"RFE"
"20",0.0923076923076923,1,65,"Vita"
"21",0.222222222222222,1,27,"binomialRF"
"22",0.8,0.666666666666667,5,"VSURF"
"23",0.666666666666667,1,9,"Boruta"
"24",0.666666666666667,1,9,"VarSelRF"
"25",NA,0,0,"PIMP"
"26",0.428571428571429,1,14,"AUCRF"
"27",0.0355029585798817,1,169,"Perm"
"28",0.545454545454545,1,11,"EFS"
"29",0.113636363636364,0.833333333333333,44,"RFE"
"30",0.1,1,60,"Vita"
"31",0.263157894736842,0.833333333333333,19,"binomialRF"
"32",0.714285714285714,0.833333333333333,7,"VSURF"
"33",0.857142857142857,1,7,"Boruta"
"34",0.666666666666667,1,9,"VarSelRF"
"35",0,0,1,"PIMP"
"36",0.428571428571429,1,14,"AUCRF"
"37",0.0348837209302326,1,172,"Perm"
"38",0.666666666666667,1,9,"EFS"
"39",0.0851063829787234,0.666666666666667,47,"RFE"
"40",0.0869565217391304,1,69,"Vita"
"41",0.3125,0.833333333333333,16,"binomialRF"
"42",0.666666666666667,1,9,"VSURF"
"43",1,1,6,"Boruta"
"44",0.545454545454545,1,11,"VarSelRF"
"45",NA,0,0,"PIMP"
"46",0.428571428571429,1,14,"AUCRF"
"47",0.032258064516129,1,186,"Perm"
"48",0.666666666666667,1,9,"EFS"
"49",0.133333333333333,1,45,"RFE"
"50",0.142857142857143,1,42,"Vita"
"51",0.333333333333333,0.833333333333333,15,"binomialRF"
"52",0.714285714285714,0.833333333333333,7,"VSURF"
"53",0.75,1,8,"Boruta"
"54",0.666666666666667,1,9,"VarSelRF"
"55",0,0,1,"PIMP"
"56",0.428571428571429,1,14,"AUCRF"
"57",0.0410958904109589,1,146,"Perm"
"58",0.666666666666667,1,9,"EFS"
"59",0.121951219512195,0.833333333333333,41,"RFE"
"60",0.136363636363636,1,44,"Vita"
"61",0.285714285714286,1,21,"binomialRF"
"62",0.6,1,10,"VSURF"
"63",0.75,1,8,"Boruta"
"64",0.545454545454545,1,11,"VarSelRF"
"65",NA,0,0,"PIMP"
"66",0.260869565217391,1,23,"AUCRF"
"67",0.0363636363636364,1,165,"Perm"
"68",0.75,1,8,"EFS"
"69",0.0930232558139535,0.666666666666667,43,"RFE"
"70",0.107142857142857,1,56,"Vita"
"71",0.315789473684211,1,19,"binomialRF"
"72",0.6,1,10,"VSURF"
"73",1,1,6,"Boruta"
"74",0.545454545454545,1,11,"VarSelRF"
"75",NA,0,0,"PIMP"
"76",0.333333333333333,1,18,"AUCRF"
"77",0.032967032967033,1,182,"Perm"
"78",0.75,1,8,"EFS"
"79",0.15,1,40,"RFE"
"80",0.136363636363636,1,44,"Vita"
"81",0.4,1,15,"binomialRF"
"82",0.75,1,8,"VSURF"
"83",0.857142857142857,1,7,"Boruta"
"84",0.666666666666667,1,9,"VarSelRF"
"85",NA,0,0,"PIMP"
"86",0.206896551724138,1,29,"AUCRF"
"87",0.037037037037037,1,162,"Perm"
"88",1,1,6,"EFS"
"89",0.119047619047619,0.833333333333333,42,"RFE"
"90",0.105263157894737,1,57,"Vita"
"91",0.4,1,15,"binomialRF"
"92",0.75,1,8,"VSURF"
"93",0.857142857142857,1,7,"Boruta"
"94",0.666666666666667,1,9,"VarSelRF"
"95",NA,0,0,"PIMP"
"96",0.127659574468085,1,47,"AUCRF"
"97",0.0357142857142857,1,168,"Perm"
"98",0.666666666666667,1,9,"EFS"
"99",0.121951219512195,0.833333333333333,41,"RFE"
"100",0.13953488372093,1,43,"Vita"
"101",0.227272727272727,0.833333333333333,22,"binomialRF"
"102",0.571428571428571,0.666666666666667,7,"VSURF"
"103",0.75,1,8,"Boruta"
"104",0.545454545454545,1,11,"VarSelRF"
"105",NA,0,0,"PIMP"
"106",0.428571428571429,1,14,"AUCRF"
"107",0.0363636363636364,1,165,"Perm"
"108",0.5,1,12,"EFS"
"109",0.0714285714285714,0.666666666666667,56,"RFE"
"110",0.0882352941176471,1,68,"Vita"
"111",0.25,1,24,"binomialRF"
"112",0.75,1,8,"VSURF"
"113",0.75,1,8,"Boruta"
"114",0.666666666666667,1,9,"VarSelRF"
"115",NA,0,0,"PIMP"
"116",0.545454545454545,1,11,"AUCRF"
"117",0.0357142857142857,1,168,"Perm"
"118",0.545454545454545,1,11,"EFS"
"119",0.0784313725490196,0.666666666666667,51,"RFE"
"120",0.0833333333333333,1,72,"Vita"
"121",0.454545454545455,0.833333333333333,11,"binomialRF"
"122",0.6,1,10,"VSURF"
"123",0.857142857142857,1,7,"Boruta"
"124",0.545454545454545,1,11,"VarSelRF"
"125",NA,0,0,"PIMP"
"126",0.162162162162162,1,37,"AUCRF"
"127",0.0346820809248555,1,173,"Perm"
"128",0.6,1,10,"EFS"
"129",0.113636363636364,0.833333333333333,44,"RFE"
"130",0.0909090909090909,1,66,"Vita"
"131",0.4,1,15,"binomialRF"
"132",0.75,1,8,"VSURF"
"133",0.857142857142857,1,7,"Boruta"
"134",0.666666666666667,1,9,"VarSelRF"
"135",0,0,1,"PIMP"
"136",0.545454545454545,1,11,"AUCRF"
"137",0.036144578313253,1,166,"Perm"
"138",0.857142857142857,1,7,"EFS"
"139",0.125,0.833333333333333,40,"RFE"
"140",0.181818181818182,1,33,"Vita"
"141",0.352941176470588,1,17,"binomialRF"
"142",0.666666666666667,1,9,"VSURF"
"143",0.75,1,8,"Boruta"
"144",0.666666666666667,1,9,"VarSelRF"
"145",NA,0,0,"PIMP"
"146",0.545454545454545,1,11,"AUCRF"
"147",0.0315789473684211,1,190,"Perm"
"148",0.857142857142857,1,7,"EFS"
"149",0.0701754385964912,0.666666666666667,57,"RFE"
"150",0.206896551724138,1,29,"Vita"
"151",0.315789473684211,1,19,"binomialRF"
"152",0.571428571428571,0.666666666666667,7,"VSURF"
"153",1,1,6,"Boruta"
"154",0.666666666666667,1,9,"VarSelRF"
"155",NA,0,0,"PIMP"
"156",0.75,1,8,"AUCRF"
"157",0.0368098159509202,1,163,"Perm"
"158",1,1,6,"EFS"
"159",0.119047619047619,0.833333333333333,42,"RFE"
"160",0.1,1,60,"Vita"
"161",0.428571428571429,1,14,"binomialRF"
"162",0.625,0.833333333333333,8,"VSURF"
"163",1,1,6,"Boruta"
"164",0.666666666666667,1,9,"VarSelRF"
"165",NA,0,0,"PIMP"
"166",0.333333333333333,1,18,"AUCRF"
"167",0.0324324324324324,1,185,"Perm"
"168",0.857142857142857,1,7,"EFS"
"169",0.0925925925925926,0.833333333333333,54,"RFE"
"170",0.107142857142857,1,56,"Vita"
"171",0.416666666666667,0.833333333333333,12,"binomialRF"
"172",0.833333333333333,0.833333333333333,6,"VSURF"
"173",0.75,1,8,"Boruta"
"174",0.666666666666667,1,9,"VarSelRF"
"175",NA,0,0,"PIMP"
"176",0.333333333333333,1,18,"AUCRF"
"177",0.0379746835443038,1,158,"Perm"
"178",0.6,1,10,"EFS"
"179",0.0930232558139535,0.666666666666667,43,"RFE"
"180",0.0779220779220779,1,77,"Vita"
"181",0.25,0.833333333333333,20,"binomialRF"
"182",0.857142857142857,1,7,"VSURF"
"183",0.857142857142857,1,7,"Boruta"
"184",0.857142857142857,1,7,"VarSelRF"
"185",0,0,1,"PIMP"
"186",0.162162162162162,1,37,"AUCRF"
"187",0.036144578313253,1,166,"Perm"
"188",0.857142857142857,1,7,"EFS"
"189",0.05,0.5,60,"RFE"
"190",0.142857142857143,1,42,"Vita"
"191",0.315789473684211,1,19,"binomialRF"
"192",0.714285714285714,0.833333333333333,7,"VSURF"
"193",1,1,6,"Boruta"
"194",0.545454545454545,1,11,"VarSelRF"
"195",NA,0,0,"PIMP"
"196",0.333333333333333,1,18,"AUCRF"
"197",0.0363636363636364,1,165,"Perm"
"198",0.6,1,10,"EFS"
"199",0.0566037735849057,0.5,53,"RFE"
"200",0.142857142857143,1,42,"Vita"
"201",0.272727272727273,1,22,"binomialRF"
"202",0.714285714285714,0.833333333333333,7,"VSURF"
"203",1,1,6,"Boruta"
"204",0.666666666666667,1,9,"VarSelRF"
"205",NA,0,0,"PIMP"
"206",0.333333333333333,1,18,"AUCRF"
"207",0.031413612565445,1,191,"Perm"
"208",0.6,1,10,"EFS"
"209",0.15,1,40,"RFE"
"210",0.125,1,48,"Vita"
"211",0.352941176470588,1,17,"binomialRF"
"212",0.75,1,8,"VSURF"
"213",1,1,6,"Boruta"
"214",0.545454545454545,1,11,"VarSelRF"
"215",0,0,1,"PIMP"
"216",0.428571428571429,1,14,"AUCRF"
"217",0.0317460317460317,1,189,"Perm"
"218",0.666666666666667,1,9,"EFS"
"219",0.127659574468085,1,47,"RFE"
"220",0.103448275862069,1,58,"Vita"
"221",0.277777777777778,0.833333333333333,18,"binomialRF"
"222",0.75,1,8,"VSURF"
"223",0.75,1,8,"Boruta"
"224",0.857142857142857,1,7,"VarSelRF"
"225",NA,0,0,"PIMP"
"226",0.428571428571429,1,14,"AUCRF"
"227",0.0337078651685393,1,178,"Perm"
"228",0.75,1,8,"EFS"
"229",0.0888888888888889,0.666666666666667,45,"RFE"
"230",0.1,1,60,"Vita"
"231",0.277777777777778,0.833333333333333,18,"binomialRF"
"232",0.75,1,8,"VSURF"
"233",1,1,6,"Boruta"
"234",0.666666666666667,1,9,"VarSelRF"
"235",NA,0,0,"PIMP"
"236",0.260869565217391,1,23,"AUCRF"
"237",0.0315789473684211,1,190,"Perm"
"238",0.666666666666667,1,9,"EFS"
"239",0.153846153846154,1,39,"RFE"
"240",0.25,1,24,"Vita"
"241",0.4,1,15,"binomialRF"
"242",0.714285714285714,0.833333333333333,7,"VSURF"
"243",1,1,6,"Boruta"
"244",0.857142857142857,1,7,"VarSelRF"
"245",0,0,1,"PIMP"
"246",0.428571428571429,1,14,"AUCRF"
"247",0.0342857142857143,1,175,"Perm"
"248",1,1,6,"EFS"
"249",0.087719298245614,0.833333333333333,57,"RFE"
"250",0.09375,1,64,"Vita"
"251",0.227272727272727,0.833333333333333,22,"binomialRF"
"252",0.625,0.833333333333333,8,"VSURF"
"253",1,1,6,"Boruta"
"254",0.666666666666667,1,9,"VarSelRF"
"255",0,0,3,"PIMP"
"256",0.206896551724138,1,29,"AUCRF"
"257",0.0319148936170213,1,188,"Perm"
"258",0.857142857142857,1,7,"EFS"
"259",0.0869565217391304,0.666666666666667,46,"RFE"
"260",0.122448979591837,1,49,"Vita"
