"","Precision","Recall","ModelSize","Model"
"1",1,0.833333333333333,5,"binomialRF"
"2",1,1,6,"binomialRF"
"3",1,1,6,"binomialRF"
"4",1,1,6,"binomialRF"
"5",1,1,6,"binomialRF"
"6",1,0.5,3,"binomialRF"
"7",1,0.5,3,"binomialRF"
"8",1,1,6,"binomialRF"
"9",1,1,6,"binomialRF"
"10",1,0.5,3,"binomialRF"
"11",1,0.5,3,"binomialRF"
"12",1,0.5,3,"binomialRF"
"13",1,0.5,3,"binomialRF"
"14",1,1,6,"binomialRF"
"15",1,1,6,"binomialRF"
"16",1,1,6,"binomialRF"
"17",1,1,6,"binomialRF"
"18",1,1,6,"binomialRF"
"19",1,1,6,"binomialRF"
"20",1,1,6,"binomialRF"
"21",1,1,6,"binomialRF"
"22",1,1,6,"binomialRF"
"23",1,1,6,"binomialRF"
"24",1,0.5,3,"binomialRF"
"25",1,1,6,"binomialRF"
"26",1,1,6,"binomialRF"
"27",1,0.5,3,"binomialRF"
"28",1,1,6,"binomialRF"
"29",1,1,6,"binomialRF"
"30",1,0.5,3,"binomialRF"
"31",1,1,6,"binomialRF"
"32",1,1,6,"binomialRF"
"33",1,1,6,"binomialRF"
"34",1,1,6,"binomialRF"
"35",1,0.5,3,"binomialRF"
"36",1,1,6,"binomialRF"
"37",1,1,6,"binomialRF"
"38",1,1,6,"binomialRF"
"39",1,1,6,"binomialRF"
"40",1,1,6,"binomialRF"
"41",1,0.333333333333333,2,"binomialRF"
"42",1,0.333333333333333,2,"binomialRF"
"43",1,0.5,3,"binomialRF"
"44",1,1,6,"binomialRF"
"45",1,0.5,3,"binomialRF"
"46",1,0.5,3,"binomialRF"
"47",1,1,6,"binomialRF"
"48",1,1,6,"binomialRF"
"49",1,1,6,"binomialRF"
"50",1,1,6,"binomialRF"
