"","ModelSize","Model","DimX"
"1",4,"binomialRF",500
"2",7,"binomialRF",500
"3",9,"binomialRF",500
"4",11,"binomialRF",500
"5",5,"binomialRF",500
"6",8,"binomialRF",500
"7",10,"binomialRF",500
"8",6,"binomialRF",500
"9",7,"binomialRF",500
"10",9,"binomialRF",500
"11",4,"binomialRF",500
"12",7,"binomialRF",500
"13",4,"binomialRF",500
"14",5,"binomialRF",500
"15",4,"binomialRF",500
"16",7,"binomialRF",500
"17",7,"binomialRF",500
"18",4,"binomialRF",500
"19",7,"binomialRF",500
"20",7,"binomialRF",500
"21",6,"binomialRF",500
"22",3,"binomialRF",500
"23",7,"binomialRF",500
"24",6,"binomialRF",500
"25",2,"binomialRF",500
"26",6,"binomialRF",500
"27",5,"binomialRF",500
"28",4,"binomialRF",500
"29",4,"binomialRF",500
"30",9,"binomialRF",500
"31",7,"binomialRF",500
"32",1,"binomialRF",500
"33",3,"binomialRF",500
"34",7,"binomialRF",500
"35",7,"binomialRF",500
"36",5,"binomialRF",500
"37",4,"binomialRF",500
"38",8,"binomialRF",500
"39",3,"binomialRF",500
"40",4,"binomialRF",500
"41",9,"binomialRF",500
"42",7,"binomialRF",500
"43",3,"binomialRF",500
"44",4,"binomialRF",500
"45",7,"binomialRF",500
"46",6,"binomialRF",500
"47",4,"binomialRF",500
"48",7,"binomialRF",500
"49",7,"binomialRF",500
"50",3,"binomialRF",500
