"","Precision","Recall","TestError","ModelSize","Model","Ntree"
"1",1,1,0.098,5,"binomialRF",500
"2",1,1,0.088,5,"binomialRF",500
"3",1,1,0.109,5,"binomialRF",500
"4",1,1,0.093,5,"binomialRF",500
"5",1,1,0.118,5,"binomialRF",500
"6",1,1,0.096,5,"binomialRF",500
"7",1,1,0.106,5,"binomialRF",500
"8",1,1,0.109,5,"binomialRF",500
"9",1,1,0.101,5,"binomialRF",500
"10",1,1,0.107,5,"binomialRF",500
"11",1,1,0.102,5,"binomialRF",500
"12",1,1,0.088,5,"binomialRF",500
"13",1,1,0.101,5,"binomialRF",500
"14",1,1,0.108,5,"binomialRF",500
"15",1,1,0.122,5,"binomialRF",500
"16",1,1,0.1,5,"binomialRF",500
"17",1,1,0.094,5,"binomialRF",500
"18",1,1,0.106,5,"binomialRF",500
"19",1,1,0.096,5,"binomialRF",500
"20",1,1,0.104,5,"binomialRF",500
"21",1,1,0.121,5,"binomialRF",500
"22",1,1,0.095,5,"binomialRF",500
"23",1,1,0.105,5,"binomialRF",500
"24",1,1,0.105,5,"binomialRF",500
"25",1,1,0.134,5,"binomialRF",500
"26",1,1,0.094,5,"binomialRF",500
"27",1,1,0.114,5,"binomialRF",500
"28",1,1,0.109,5,"binomialRF",500
"29",1,1,0.111,5,"binomialRF",500
"30",1,0.8,0.174,4,"binomialRF",500
"31",1,1,0.09,5,"binomialRF",500
"32",1,1,0.093,5,"binomialRF",500
"33",1,0.8,0.191,4,"binomialRF",500
"34",1,1,0.098,5,"binomialRF",500
"35",1,1,0.098,5,"binomialRF",500
"36",1,1,0.1,5,"binomialRF",500
"37",1,1,0.099,5,"binomialRF",500
"38",1,1,0.115,5,"binomialRF",500
"39",1,1,0.112,5,"binomialRF",500
"40",1,1,0.102,5,"binomialRF",500
"41",1,1,0.101,5,"binomialRF",500
"42",1,1,0.103,5,"binomialRF",500
"43",1,1,0.091,5,"binomialRF",500
"44",1,1,0.096,5,"binomialRF",500
"45",1,1,0.095,5,"binomialRF",500
"46",1,1,0.107,5,"binomialRF",500
"47",1,1,0.11,5,"binomialRF",500
"48",1,1,0.11,5,"binomialRF",500
"49",1,1,0.098,5,"binomialRF",500
"50",1,1,0.106,5,"binomialRF",500
