"","Precision","Recall","TestError","ModelSize","Model"
"1","0.8","0.032","0.452","10","binomialRF"
"2","0.666666666666667","0.04","0.474","15","VSURF"
"3","0.8","0.016","0.496","5","Boruta"
"4","0.545454545454545","0.12","0.422","55","VarSelRF"
"5","NaN","0","0.43","0","PIMP"
"6","0.515151515151515","0.136","0.43","66","AUCRF"
"7","0.302231237322515","0.596","0.426","493","Perm"
"8","0.666666666666667","0.28","0.404","105","EFS"
"9","0.494252873563218","0.344","0.42","174","RFE"
"10","0.417391304347826","0.192","0.43","115","Vita"
"11","0.583333333333333","0.028","0.484","12","binomialRF"
"12","0.461538461538462","0.024","0.446","13","VSURF"
"13","1","0.008","0.452","2","Boruta"
"14","0.361904761904762","0.304","0.472","210","VarSelRF"
"15","NaN","0","0.452","0","PIMP"
"16","0.42512077294686","0.352","0.418","207","AUCRF"
"17","0.308617234468938","0.616","0.418","499","Perm"
"18","0.63768115942029","0.176","0.404","69","EFS"
"19","0.464088397790055","0.336","0.418","181","RFE"
"20","0.448275862068966","0.156","0.432","87","Vita"
"21","0.909090909090909","0.04","0.446","11","binomialRF"
"22","0.722222222222222","0.052","0.442","18","VSURF"
"23","1","0.016","0.462","4","Boruta"
"24","0.536231884057971","0.148","0.42","69","VarSelRF"
"25","NaN","0","0.408","0","PIMP"
"26","0.458015267175573","0.24","0.376","131","AUCRF"
"27","0.305263157894737","0.58","0.442","475","Perm"
"28","0.743243243243243","0.22","0.372","74","EFS"
"29","0.483695652173913","0.356","0.402","184","RFE"
"30","0.569230769230769","0.148","0.416","65","Vita"
"31","0.818181818181818","0.036","0.478","11","binomialRF"
"32","0.8","0.032","0.494","10","VSURF"
"33","0.666666666666667","0.016","0.496","6","Boruta"
"34","0.521739130434783","0.144","0.442","69","VarSelRF"
"35","NaN","0","0.41","0","PIMP"
"36","0.480916030534351","0.252","0.43","131","AUCRF"
"37","0.30241935483871","0.6","0.39","496","Perm"
"38","0.9375","0.12","0.448","32","EFS"
"39","0.43558282208589","0.284","0.406","163","RFE"
"40","0.529411764705882","0.144","0.432","68","Vita"
"41","0.666666666666667","0.016","0.464","6","binomialRF"
"42","0.785714285714286","0.044","0.434","14","VSURF"
"43","1","0.012","0.472","3","Boruta"
"44","0.439252336448598","0.188","0.402","107","VarSelRF"
"45","NaN","0","0.42","0","PIMP"
"46","0.4","0.264","0.392","165","AUCRF"
"47","0.322981366459627","0.624","0.384","483","Perm"
"48","0.72","0.144","0.4","50","EFS"
"49","0.459016393442623","0.336","0.404","183","RFE"
"50","0.451612903225806","0.168","0.408","93","Vita"
"51","0.4","0.024","0.48","15","binomialRF"
"52","0.625","0.02","0.454","8","VSURF"
"53","1","0.012","0.49","3","Boruta"
"54","0.363636363636364","0.08","0.456","55","VarSelRF"
"55","NaN","0","0.446","0","PIMP"
"56","0.403846153846154","0.168","0.434","104","AUCRF"
"57","0.298989898989899","0.592","0.396","495","Perm"
"58","0.588235294117647","0.2","0.418","85","EFS"
"59","0.377049180327869","0.276","0.386","183","RFE"
"60","0.475609756097561","0.156","0.44","82","Vita"
"61","0.583333333333333","0.028","0.498","12","binomialRF"
"62","0.636363636363636","0.028","0.482","11","VSURF"
"63","1","0.016","0.484","4","Boruta"
"64","0.568181818181818","0.1","0.426","44","VarSelRF"
"65","NaN","0","0.47","0","PIMP"
"66","0.46969696969697","0.124","0.438","66","AUCRF"
"67","0.298353909465021","0.58","0.434","486","Perm"
"68","0.698630136986301","0.204","0.384","73","EFS"
"69","0.434285714285714","0.304","0.442","175","RFE"
"70","0.409638554216867","0.136","0.456","83","Vita"
"71","0.571428571428571","0.032","0.484","14","binomialRF"
"72","0.714285714285714","0.04","0.474","14","VSURF"
"73","0.666666666666667","0.008","0.49","3","Boruta"
"74","0.478260869565217","0.132","0.438","69","VarSelRF"
"75","NaN","0","0.436","0","PIMP"
"76","0.375757575757576","0.248","0.436","165","AUCRF"
"77","0.296296296296296","0.576","0.418","486","Perm"
"78","0.598290598290598","0.28","0.368","117","EFS"
"79","0.47752808988764","0.34","0.398","178","RFE"
"80","0.3875","0.124","0.43","80","Vita"
"81","0.538461538461538","0.028","0.502","13","binomialRF"
"82","0.555555555555556","0.02","0.49","9","VSURF"
"83","0.6","0.012","0.528","5","Boruta"
"84","0.347826086956522","0.096","0.46","69","VarSelRF"
"85","NaN","0","0.43","0","PIMP"
"86","0.457831325301205","0.152","0.456","83","AUCRF"
"87","0.30188679245283","0.576","0.416","477","Perm"
"88","0.670588235294118","0.228","0.412","85","EFS"
"89","0.483516483516484","0.352","0.418","182","RFE"
"90","0.425287356321839","0.148","0.464","87","Vita"
"91","0.692307692307692","0.036","0.446","13","binomialRF"
"92","0.692307692307692","0.036","0.458","13","VSURF"
"93","1","0.02","0.488","5","Boruta"
"94","0.509090909090909","0.112","0.432","55","VarSelRF"
"95","NaN","0","0.43","0","PIMP"
"96","0.469879518072289","0.156","0.424","83","AUCRF"
"97","0.288065843621399","0.56","0.392","486","Perm"
"98","0.706666666666667","0.212","0.398","75","EFS"
"99","0.431952662721893","0.292","0.388","169","RFE"
"100","0.434210526315789","0.132","0.424","76","Vita"
"101","Error in if (n == 0) stop(""data (x) has 0 rows"") : 
  argument is of length zero
","Error in if (n == 0) stop(""data (x) has 0 rows"") : 
  argument is of length zero
","Error in if (n == 0) stop(""data (x) has 0 rows"") : 
  argument is of length zero
","Error in if (n == 0) stop(""data (x) has 0 rows"") : 
  argument is of length zero
",NA
"102","0.727272727272727","0.032","0.468","11","binomialRF"
"103","0.642857142857143","0.036","0.484","14","VSURF"
"104","0.8","0.016","0.484","5","Boruta"
"105","0.457943925233645","0.196","0.406","107","VarSelRF"
"106","NaN","0","0.412","0","PIMP"
"107","0.50381679389313","0.264","0.434","131","AUCRF"
"108","0.297916666666667","0.572","0.432","480","Perm"
"109","0.678571428571429","0.152","0.43","56","EFS"
"110","0.463414634146341","0.304","0.412","164","RFE"
"111","0.428571428571429","0.156","0.466","91","Vita"
"112","0.545454545454545","0.024","0.502","11","binomialRF"
"113","0.428571428571429","0.024","0.492","14","VSURF"
"114","0.8","0.016","0.514","5","Boruta"
"115","0.522727272727273","0.092","0.486","44","VarSelRF"
"116","NaN","0","0.48","0","PIMP"
"117","0.418181818181818","0.276","0.468","165","AUCRF"
"118","0.306889352818372","0.588","0.458","479","Perm"
"119","0.563106796116505","0.232","0.426","103","EFS"
"120","0.480225988700565","0.34","0.434","177","RFE"
"121","0.449438202247191","0.16","0.422","89","Vita"
"122","0.384615384615385","0.02","0.488","13","binomialRF"
"123","0.416666666666667","0.02","0.492","12","VSURF"
"124","0.5","0.004","0.496","2","Boruta"
"125","0.405797101449275","0.112","0.396","69","VarSelRF"
"126","NaN","0","0.42","0","PIMP"
"127","0.381679389312977","0.2","0.386","131","AUCRF"
"128","0.298989898989899","0.592","0.426","495","Perm"
"129","0.596330275229358","0.26","0.364","109","EFS"
"130","0.430167597765363","0.308","0.376","179","RFE"
"131","0.333333333333333","0.104","0.416","78","Vita"
"132","0.5","0.024","0.476","12","binomialRF"
"133","0.615384615384615","0.032","0.468","13","VSURF"
"134","0.666666666666667","0.008","0.508","3","Boruta"
"135","0.490909090909091","0.108","0.42","55","VarSelRF"
"136","NaN","0","0.448","0","PIMP"
"137","0.450381679389313","0.236","0.416","131","AUCRF"
"138","0.274058577405858","0.524","0.424","478","Perm"
"139","0.736842105263158","0.224","0.394","76","EFS"
"140","0.465116279069767","0.32","0.45","172","RFE"
"141","0.457943925233645","0.196","0.44","107","Vita"
"142","0.416666666666667","0.02","0.512","12","binomialRF"
"143","0.6","0.024","0.492","10","VSURF"
"144","0","0","0.506","2","Boruta"
"145","0.492753623188406","0.136","0.436","69","VarSelRF"
"146","NaN","0","0.43","0","PIMP"
"147","0.519083969465649","0.272","0.438","131","AUCRF"
"148","0.335511982570806","0.616","0.412","459","Perm"
"149","0.670103092783505","0.26","0.44","97","EFS"
"150","0.486486486486487","0.36","0.436","185","RFE"
"151","0.493827160493827","0.16","0.452","81","Vita"
"152","0.666666666666667","0.032","0.43","12","binomialRF"
"153","0.545454545454545","0.024","0.46","11","VSURF"
"154","0.571428571428571","0.016","0.446","7","Boruta"
"155","0.420289855072464","0.116","0.398","69","VarSelRF"
"156","NaN","0","0.444","0","PIMP"
"157","0.403846153846154","0.168","0.418","104","AUCRF"
"158","0.283582089552239","0.532","0.42","469","Perm"
"159","0.566666666666667","0.136","0.41","60","EFS"
"160","0.460122699386503","0.3","0.398","163","RFE"
"161","0.430379746835443","0.136","0.42","79","Vita"
"162","0.583333333333333","0.028","0.466","12","binomialRF"
"163","0.833333333333333","0.04","0.478","12","VSURF"
"164","0.666666666666667","0.016","0.5","6","Boruta"
"165","0.568181818181818","0.1","0.438","44","VarSelRF"
"166","NaN","0","0.388","0","PIMP"
"167","0.545454545454545","0.144","0.404","66","AUCRF"
"168","0.290254237288136","0.548","0.39","472","Perm"
"169","0.604651162790698","0.208","0.372","86","EFS"
"170","0.514450867052023","0.356","0.392","173","RFE"
"171","0.457446808510638","0.172","0.426","94","Vita"
"172","0.571428571428571","0.032","0.47","14","binomialRF"
"173","0.619047619047619","0.052","0.454","21","VSURF"
"174","0.5","0.008","0.472","4","Boruta"
"175","0.534883720930233","0.184","0.432","86","VarSelRF"
"176","NaN","0","0.396","0","PIMP"
"177","0.403846153846154","0.168","0.418","104","AUCRF"
"178","0.30398322851153","0.58","0.386","477","Perm"
"179","0.727272727272727","0.192","0.404","66","EFS"
"180","0.48","0.336","0.42","175","RFE"
"181","0.46","0.184","0.424","100","Vita"
"182","0.8","0.032","0.466","10","binomialRF"
"183","0.9","0.036","0.504","10","VSURF"
"184","0.8","0.016","0.46","5","Boruta"
"185","0.453488372093023","0.156","0.422","86","VarSelRF"
"186","NaN","0","0.466","0","PIMP"
"187","0.548076923076923","0.228","0.408","104","AUCRF"
"188","0.301397205588822","0.604","0.414","501","Perm"
"189","0.758064516129032","0.188","0.406","62","EFS"
"190","0.453551912568306","0.332","0.398","183","RFE"
"191","0.516483516483517","0.188","0.436","91","Vita"
"192","0.666666666666667","0.032","0.486","12","binomialRF"
"193","1","0.032","0.49","8","VSURF"
"194","1","0.016","0.512","4","Boruta"
"195","0.536231884057971","0.148","0.432","69","VarSelRF"
"196","NaN","0","0.426","0","PIMP"
"197","0.538461538461538","0.224","0.4","104","AUCRF"
"198","0.317554240631164","0.644","0.416","507","Perm"
"199","0.72","0.216","0.378","75","EFS"
"200","0.491620111731844","0.352","0.404","179","RFE"
"201","0.558139534883721","0.192","0.412","86","Vita"
"202","0.666666666666667","0.032","0.46","12","binomialRF"
"203","0.705882352941177","0.048","0.47","17","VSURF"
"204","0.666666666666667","0.016","0.492","6","Boruta"
"205","0.568181818181818","0.1","0.458","44","VarSelRF"
"206","NaN","0","0.466","0","PIMP"
"207","0.450381679389313","0.236","0.44","131","AUCRF"
"208","0.281314168377823","0.548","0.466","487","Perm"
"209","0.650793650793651","0.164","0.43","63","EFS"
"210","0.415300546448087","0.304","0.434","183","RFE"
"211","0.392857142857143","0.132","0.44","84","Vita"
"212","0.666666666666667","0.024","0.458","9","binomialRF"
"213","0.615384615384615","0.032","0.462","13","VSURF"
"214","0","0","0.464","2","Boruta"
"215","0.398809523809524","0.268","0.428","168","VarSelRF"
