"","user.self","sys.self","elapsed","user.child","sys.child","Model"
"binom.rf.time",0.350000000000001,0.028,0.468999999999999,0,0,"BinomialRF"
"boruta.time",9.088,0.29,5.949,0,0,"Boruta"
"vsurf.time",4.695,0.261,77.33,0.011,0.013,"VSURF"
"varselrf.time",6.213,0.029,8.956,0,0,"VarSelRF"
"pimp.time",0.0279999999999987,0.02,21.323,16.843,0.458,"PIMP"
"aucrf.time",1.061,0.0329999999999999,1.31,0,0,"AUCRF"
"efs.time",15.652,0.174,18.392,0,0,"EFS"
"rfe.time",0.321000000000005,0.00600000000000001,0.385999999999996,0,0,"RFE"
"vita.time",1.18,0.089,3.217,0,0,"Vita"
"perm.time",0.253,0.00299999999999989,0.27600000000001,0,0,"Perm"
"binom.rf.time1",0.348999999999999,0.026,0.478,0,0,"BinomialRF"
"boruta.time1",9.969,0.345,5.607,0,0,"Boruta"
"vsurf.time1",5.596,0.291,82.241,0.011,0.013,"VSURF"
"varselrf.time1",6.313,0.028,8.10300000000001,0,0,"VarSelRF"
"pimp.time1",0.0279999999999987,0.022,20.352,17.692,1.117,"PIMP"
"aucrf.time1",1.066,0.028,1.203,0,0,"AUCRF"
"efs.time1",15.903,0.163,18.806,0,0,"EFS"
"rfe.time1",0.324999999999996,0.0069999999999999,0.442000000000007,0,0,"RFE"
"vita.time1",1.311,0.0889999999999999,2.926,0,0,"Vita"
"perm.time1",0.25,0.002,0.265000000000015,0,0,"Perm"
"binom.rf.time2",0.339,0.027,0.451000000000001,0,0,"BinomialRF"
"boruta.time2",10.827,0.37,6.496,0,0,"Boruta"
"vsurf.time2",7.438,0.461,94.64,0.012,0.013,"VSURF"
"varselrf.time2",6.015,0.0220000000000002,6.90400000000001,0,0,"VarSelRF"
"pimp.time2",0.027000000000001,0.022,11.742,17.045,0.409,"PIMP"
"aucrf.time2",1.018,0.032,1.28199999999998,0,0,"AUCRF"
"efs.time2",15.204,0.178,18.587,0,0,"EFS"
"rfe.time2",0.314,0.00700000000000012,0.819999999999993,0,0,"RFE"
"vita.time2",1.165,0.0920000000000001,1.431,0,0,"Vita"
"perm.time2",0.254000000000001,0.00300000000000011,0.311999999999983,0,0,"Perm"
"binom.rf.time3",0.343999999999999,0.027,0.447,0,0,"BinomialRF"
"boruta.time3",9.02,0.278,5.52499999999999,0,0,"Boruta"
"vsurf.time3",4.578,0.246,76.035,0.01,0.012,"VSURF"
"varselrf.time3",6.142,0.029,9.16800000000001,0,0,"VarSelRF"
"pimp.time3",0.0280000000000022,0.021,22.535,16.782,0.442,"PIMP"
"aucrf.time3",1.085,0.0329999999999999,1.37599999999999,0,0,"AUCRF"
"efs.time3",15.551,0.163,18.316,0,0,"EFS"
"rfe.time3",0.327999999999996,0.00600000000000001,0.379000000000019,0,0,"RFE"
"vita.time3",1.181,0.0830000000000001,3.605,0,0,"Vita"
"perm.time3",0.242999999999999,0.002,0.274000000000001,0,0,"Perm"
"binom.rf.time4",0.332999999999998,0.0109999999999999,0.427999999999997,0,0,"BinomialRF"
"boruta.time4",10.208,0.319,6.31,0,0,"Boruta"
"vsurf.time4",3.358,0.189,99.059,0.00999999999999801,0.012,"VSURF"
"varselrf.time4",6.192,0.0129999999999999,6.84799999999996,0,0,"VarSelRF"
"pimp.time4",0.0240000000000009,0.0169999999999999,15.246,16.422,0.487,"PIMP"
"aucrf.time4",0.903000000000006,0.0270000000000001,1.06199999999995,0,0,"AUCRF"
"efs.time4",15.883,0.163,25.258,0,0,"EFS"
"rfe.time4",0.320000000000007,0.00700000000000012,0.467999999999961,0,0,"RFE"
"vita.time4",1.166,0.0799999999999998,1.32400000000001,0,0,"Vita"
"perm.time4",0.245999999999995,0.00200000000000022,0.265999999999963,0,0,"Perm"
"binom.rf.time5",0.334999999999994,0.0069999999999999,0.394000000000005,0,0,"BinomialRF"
"boruta.time5",9.37,0.244,6.02800000000002,0,0,"Boruta"
"vsurf.time5",4.178,0.241,88.264,0.00999999999999801,0.012,"VSURF"
"varselrf.time5",6.287,0.0140000000000002,7.161,0,0,"VarSelRF"
"pimp.time5",0.0249999999999986,0.02,21.479,16.738,0.51,"PIMP"
"aucrf.time5",0.896999999999991,0.0259999999999998,1.00700000000001,0,0,"AUCRF"
"efs.time5",15.733,0.166,24.932,0,0,"EFS"
"rfe.time5",0.319000000000003,0.00600000000000023,0.352000000000032,0,0,"RFE"
"vita.time5",1.189,0.0880000000000001,2.90500000000003,0,0,"Vita"
"perm.time5",0.253999999999991,0.00299999999999989,0.300000000000011,0,0,"Perm"
"binom.rf.time6",0.359000000000002,0.014,0.933000000000021,0,0,"BinomialRF"
"boruta.time6",9.567,0.252,6.37,0,0,"Boruta"
"vsurf.time6",4.005,0.239,83.808,0.0109999999999992,0.0129999999999999,"VSURF"
"varselrf.time6",6.26200000000001,0.014,7.21899999999999,0,0,"VarSelRF"
"pimp.time6",0.0279999999999987,0.0249999999999999,22.003,17.273,0.496,"PIMP"
"aucrf.time6",0.917000000000002,0.0279999999999998,1.07999999999998,0,0,"AUCRF"
"efs.time6",16.011,0.167,25.336,0,0,"EFS"
"rfe.time6",0.327999999999989,0.00500000000000034,0.385999999999967,0,0,"RFE"
"vita.time6",1.19900000000001,0.091,3.00799999999998,0,0,"Vita"
"perm.time6",0.256,0.00299999999999967,0.289000000000044,0,0,"Perm"
"binom.rf.time7",0.339999999999996,0.00999999999999979,0.913999999999987,0,0,"BinomialRF"
"boruta.time7",9.371,0.346,4.12700000000001,0,0,"Boruta"
"vsurf.time7",21.072,1.217,134.962,0.0109999999999992,0.012,"VSURF"
"varselrf.time7",6.02200000000001,0.0499999999999998,17.333,0,0,"VarSelRF"
"pimp.time7",0.0240000000000009,0.016,8.87400000000002,17.14,0.38,"PIMP"
"aucrf.time7",0.891999999999996,0.0430000000000001,3.93700000000001,0,0,"AUCRF"
"efs.time7",15.283,0.211,46.383,0,0,"EFS"
"rfe.time7",0.317999999999998,0.00699999999999967,0.875999999999976,0,0,"RFE"
"vita.time7",1.169,0.0800000000000001,1.411,0,0,"Vita"
"perm.time7",0.248999999999995,0.00300000000000011,0.699999999999989,0,0,"Perm"
"binom.rf.time8",0.225999999999999,0.00099999999999989,0.262999999999977,0,0,"BinomialRF"
"boruta.time8",7.562,0.236,3.66800000000001,0,0,"Boruta"
"vsurf.time8",4.20399999999999,0.22,65.872,0.00999999999999801,0.012,"VSURF"
"varselrf.time8",6.181,0.02,14.344,0,0,"VarSelRF"
"pimp.time8",0.027000000000001,0.0209999999999999,18.763,16.598,0.482,"PIMP"
"aucrf.time8",0.938000000000002,0.028,1.60699999999997,0,0,"AUCRF"
"efs.time8",15.92,0.167,24.205,0,0,"EFS"
"rfe.time8",0.331999999999994,0.00499999999999989,0.658999999999992,0,0,"RFE"
"vita.time8",1.17700000000001,0.0860000000000003,4.88799999999998,0,0,"Vita"
"perm.time8",0.251999999999995,0.00199999999999978,0.411000000000001,0,0,"Perm"
"binom.rf.time9",0.230000000000004,0.00200000000000022,0.263000000000034,0,0,"BinomialRF"
"boruta.time9",9.535,0.328,6.625,0,0,"Boruta"
"vsurf.time9",3.48599999999999,0.187,78.666,0.00999999999999801,0.0110000000000001,"VSURF"
"varselrf.time9",6.158,0.0219999999999998,9.96800000000002,0,0,"VarSelRF"
"pimp.time9",0.0249999999999915,0.0230000000000001,16.384,16.655,0.454,"PIMP"
"aucrf.time9",0.915999999999997,0.0299999999999998,1.58800000000002,0,0,"AUCRF"
