"","user.self","sys.self","elapsed","user.child","sys.child","Model"
"binom.rf.time",1.088,0.014,1.407,0,0,"BinomialRF"
"boruta.time",66.768,0.797,65.866,0,0,"Boruta"
"vsurf.time",26.82,1.142,794.859,0.011,0.018,"VSURF"
"varselrf.time",49.051,0.279,68.7170000000001,0,0,"VarSelRF"
"pimp.time",0.451999999999998,0.0720000000000001,244.713,175.963,1.828,"PIMP"
"aucrf.time",11.853,0.143,15.953,0,0,"AUCRF"
"efs.time",280.062,6.031,394.924,0,0,"EFS"
"rfe.time",4.185,0.0259999999999998,5.31999999999994,0,0,"RFE"
"vita.time",16.213,0.322,40.2049999999999,0,0,"Vita"
"perm.time",3.30500000000001,0.024,4.67400000000021,0,0,"Perm"
"binom.rf.time1",1.098,0.014,1.439,0,0,"BinomialRF"
"boruta.time1",62.591,0.742,55.85,0,0,"Boruta"
"vsurf.time1",23.931,0.982,782.882,0.01,0.014,"VSURF"
"varselrf.time1",49.696,0.276,73.067,0,0,"VarSelRF"
"pimp.time1",0.468999999999994,0.0779999999999998,248.674,176.787,2.456,"PIMP"
"aucrf.time1",12.083,0.147,15.395,0,0,"AUCRF"
"efs.time1",282.154,6.159,398.323,0,0,"EFS"
"rfe.time1",4.20799999999997,0.0259999999999998,5.41799999999989,0,0,"RFE"
"vita.time1",16.377,0.353,49.6990000000001,0,0,"Vita"
"perm.time1",3.38,0.0260000000000002,5.11099999999988,0,0,"Perm"
"binom.rf.time2",1.105,0.014,1.469,0,0,"BinomialRF"
"boruta.time2",64.786,0.786,67.981,0,0,"Boruta"
"vsurf.time2",33.305,1.543,807.781,0.01,0.016,"VSURF"
"varselrf.time2",49.142,0.281,66.674,0,0,"VarSelRF"
"pimp.time2",0.456999999999994,0.0720000000000001,241.271,176.644,1.96,"PIMP"
"aucrf.time2",12.014,0.15,16.4669999999999,0,0,"AUCRF"
"efs.time2",280.896,6.1,396.501,0,0,"EFS"
"rfe.time2",4.18299999999999,0.0280000000000005,5.30199999999991,0,0,"RFE"
"vita.time2",16.203,0.329,35.674,0,0,"Vita"
"perm.time2",3.255,0.0259999999999998,4.04700000000003,0,0,"Perm"
"binom.rf.time3",1.108,0.014,1.441,0,0,"BinomialRF"
"boruta.time3",65.42,0.804,82.751,0,0,"Boruta"
"vsurf.time3",45.924,2.284,881.055,0.01,0.014,"VSURF"
"varselrf.time3",49.309,0.287,67.0310000000002,0,0,"VarSelRF"
"pimp.time3",0.465999999999994,0.0760000000000001,186.735,176.662,1.633,"PIMP"
"aucrf.time3",11.614,0.149999999999999,15.5999999999999,0,0,"AUCRF"
"efs.time3",280.791,6.145,401.724,0,0,"EFS"
"rfe.time3",4.20100000000002,0.0299999999999994,13.4680000000001,0,0,"RFE"
"vita.time3",16.25,0.354,22.123,0,0,"Vita"
"perm.time3",3.24800000000002,0.024,4.33500000000004,0,0,"Perm"
"binom.rf.time4",1.072,0.00599999999999845,1.31099999999992,0,0,"BinomialRF"
"boruta.time4",64.7769999999999,0.459999999999999,40.1730000000002,0,0,"Boruta"
"vsurf.time4",49.066,2.399,693.922,0.0109999999999957,0.0209999999999999,"VSURF"
"varselrf.time4",49.2760000000001,0.108000000000001,76.8109999999997,0,0,"VarSelRF"
"pimp.time4",0.454999999999927,0.0640000000000001,167.851,175.827,1.345,"PIMP"
"aucrf.time4",11.672,0.113,12.6690000000003,0,0,"AUCRF"
"efs.time4",279.747,4.893,307.682,0,0,"EFS"
"rfe.time4",4.20799999999997,0.0140000000000029,6.60899999999992,0,0,"RFE"
"vita.time4",16.2090000000001,0.388000000000002,44.8389999999999,0,0,"Vita"
"perm.time4",3.30399999999997,0.00900000000000034,3.52399999999989,0,0,"Perm"
"binom.rf.time5",1.029,0.00600000000000023,1.221,0,0,"BinomialRF"
"boruta.time5",67.848,0.461,30.712,0,0,"Boruta"
"vsurf.time5",20.882,0.899999999999999,670.555,0.0109999999999957,0.012,"VSURF"
"varselrf.time5",48.504,0.130000000000001,97.3019999999997,0,0,"VarSelRF"
"pimp.time5",0.451000000000022,0.0620000000000012,157.86,171.435,1.3,"PIMP"
"aucrf.time5",11.578,0.109,12.3679999999999,0,0,"AUCRF"
"efs.time5",274.203,4.89,299.923,0,0,"EFS"
"rfe.time5",4.12300000000005,0.0109999999999992,4.32999999999993,0,0,"RFE"
"vita.time5",16.02,0.353999999999999,52.8829999999998,0,0,"Vita"
"perm.time5",3.31200000000001,0.00900000000000034,3.48700000000008,0,0,"Perm"
"binom.rf.time6",1.06100000000004,0.00600000000000023,1.28199999999993,0,0,"BinomialRF"
"boruta.time6",65.391,0.464,56.924,0,0,"Boruta"
